APE,,,,,,,,
Matching Method,rmse, mean, median, std, min, max, sse, average spend time
PCL-NDT,33.1149908392101,29.1933017131291,26.9705071832022,15.6318186199552,1.2567754200473E-06,61.0875322602522,2096704.20615321,0.0142579
GN-ICP,40.8868078596634,31.143699311389,22.9584884705045,26.491527893929,1.03159278495493E-06,90.761132991323,3172945.54609686,0.018154
SVD-ICP,41.419024898049,32.0810375231093,24.04956736836,26.1981422040964,1.03159278495493E-06,89.8960294165723,3269810.89840092,0.0179568
PCL-ICP,457.581470671158,326.260556543286,217.291901389053,320.834617124844,1.2567754200473E-06,1214.25189067013,346943989.413718,0.0305145
,,,,,,,,
RPE,,,,,,,,
Matching Method,rmse, mean, median, std, min, max, sse,
PCL-NDT,3.35283352862622,2.98007476767413,2.78306417637105,1.53643973189713,0.93975859393972,6.4292773419946,213.588360742923,
GN-ICP,4.95562400808577,4.2776711188505,4.01843775406075,2.50194706348244,0.664711246481311,10.0522839050861,442.047767571289,
SVD-ICP,3.50525435618626,3.17573193924801,3.19893721763695,1.48375697188012,0.764856568236319,6.7628703659909,233.449353929693,
PCL-ICP,287.470382730634,203.659461722175,146.123999660569,202.884313337259,2.69162658793244,768.302734308643,1322227.53515676,
