APE,,,,,,,,
Detection Method,rmse, mean, median, std, min, max, sse, average spend time
Distance_GNSS,5.57020486847518,4.72243917714598,4.12164295551166,2.9539381332285,1.26E-06,12.4920579401563,59106.7822372747,3.22E-06
Distance_Odom,11.0530064883216,8.37993351549253,6.01738834717504,7.20733423026884,1.18E-06,28.9276353991179,232487.516475964,2.11E-06
Scan_Context,4.82988658987946,4.13946570946313,3.71232586195304,2.48849916842991,1.18E-06,10.165431850935,44392.8119084985,0.00133124
,,,,,,,,
RPE,,,,,,,,
Detection Method,rmse, mean, median, std, min, max, sse,
Distance_GNSS,2.79196240806388,2.53117395598876,2.59032509842558,1.17822429637403,0.966020488077356,6.26272439999063,148.106027672795,
Distance_Odom,2.80425439752408,2.49183666943649,2.16593822716594,1.28630973676048,0.758324863737987,6.53755533451183,149.41301179463,
Scan_Context,2.58753122077578,2.34462804570024,2.44778005792745,1.09454883207889,0.711228053773947,4.81482306752295,127.211038551298,
